page,button_text,api_call,backend_route,backend_handler,expected_result,status
Doctor/Appointments,Create,POST /api/appointments,backend/routes/appointmentRoutes.js:POST /,backend/controllers/appointmentController.js:createAppointment,Appointment created via workflow and appears in doctor list,verified
Doctor/Appointments,Complete,PATCH /api/appointments/:id,backend/routes/appointmentRoutes.js:PATCH /:id,backend/controllers/appointmentController.js:updateAppointment,Appointment transitions status to Completed via workflow,verified
Doctor/Appointments,Delete,DELETE /api/appointments/:id,backend/routes/appointmentRoutes.js:DELETE /:id,backend/controllers/appointmentController.js:deleteAppointment,Appointment removed and list refreshes,verified
Patient/MyAppointments,Submit Appointment,POST /api/appointments,backend/routes/appointmentRoutes.js:POST /,backend/controllers/appointmentController.js:createAppointment,Patient appointment request saved for selected hospital/doctor,verified
Patient/MyAppointments,Load Doctors,GET /api/appointments/doctors?hospitalId=...,backend/routes/appointmentRoutes.js:GET /doctors,backend/controllers/appointmentController.js:listHospitalDoctors,Doctor dropdown populated for selected hospital,verified
Patient/MyAppointments,Load History,GET /api/appointments?hospitalId=...&limit=50,backend/routes/appointmentRoutes.js:GET /,backend/controllers/appointmentController.js:listAppointments,Patient sees own appointments in selected hospital,verified
HospitalAdmin/Financials,Create Invoice,POST /api/financials,backend/routes/financialRoutes.js:POST /,backend/controllers/financialController.js:createInvoice,Invoice created with generated invoice number and pending status,verified
HospitalAdmin/Financials,Pay,POST /api/financials/:id/pay,backend/routes/financialRoutes.js:POST /:id/pay,backend/controllers/financialController.js:recordPayment,Payment appended to metadata and invoice status updates to Paid when fully covered,verified
HospitalAdmin/Financials,Claim,POST /api/financials/:id/claim,backend/routes/financialRoutes.js:POST /:id/claim,backend/controllers/financialController.js:submitInsuranceClaim,Insurance claim id created and claim status set Submitted,verified
HospitalAdmin/Financials,List,GET /api/financials?page=...&limit=25,backend/routes/financialRoutes.js:GET /,backend/controllers/financialController.js:listInvoices,Paginated invoice list rendered in table,verified
Payments/PaymentsPage,Stripe,POST /api/payments/stripe/create-intent,backend/routes/paymentRoutes.js:POST /stripe/create-intent,backend/routes/paymentRoutes.js:safe(async req=>stripe.createPaymentIntent),Stripe payment intent created and clientSecret returned,verified
Payments/PaymentsPage,M-Pesa,POST /api/payments/mpesa/stk,backend/routes/paymentRoutes.js:POST /mpesa/stk,backend/routes/paymentRoutes.js:safe(async req=>mpesa.initiateSTK),M-Pesa STK push initiated,verified
Patient/Payments,Pay with Card (Stripe),POST /api/payments/stripe/create-intent,backend/routes/paymentRoutes.js:POST /stripe/create-intent,backend/routes/paymentRoutes.js:safe(async req=>stripe.createPaymentIntent),Demo flow returns Stripe client secret,verified
Patient/Payments,Pay with M-Pesa,POST /api/payments/mpesa/stk,backend/routes/paymentRoutes.js:POST /mpesa/stk,backend/routes/paymentRoutes.js:safe(async req=>mpesa.initiateSTK),Demo flow initiates STK push response,verified
Patient/Payments,Pay with Flutterwave,POST /api/payments/flutter/init,backend/routes/paymentRoutes.js:POST /flutter/init,backend/routes/paymentRoutes.js:safe(async req=>flutter.initiatePayment),Demo flow initiates Flutterwave payment link/response,verified
HospitalAdmin/RecruitmentAds,Post Vacancy,POST /api/recruitment-ads,backend/routes/recruitmentAdsRoutes.js:POST /,backend/controllers/recruitmentAdsController.js:createRecruitmentAd,Vacancy created (premium gate enforced),verified
HospitalAdmin/RecruitmentAds,Activate/Pause/Close,PATCH /api/recruitment-ads/:id,backend/routes/recruitmentAdsRoutes.js:PATCH /:id,backend/controllers/recruitmentAdsController.js:updateRecruitmentAd,Ad status updates and list refreshes,verified
HospitalAdmin/RecruitmentAds,Application Review Status,PATCH /api/recruitment-ads/applications/:applicationId/status,backend/routes/recruitmentAdsRoutes.js:PATCH /applications/:applicationId/status,backend/controllers/recruitmentAdsController.js:updateRecruitmentApplicationStatus,Applicant status transitions (UNDER_REVIEW/SHORTLISTED/REJECTED/HIRED),verified
Patient/AdsFeed,Apply in AfyaLink,POST /api/recruitment-ads/:id/apply,backend/routes/recruitmentAdsRoutes.js:POST /:id/apply,backend/controllers/recruitmentAdsController.js:applyToRecruitmentAd,Application stored and applicant sees status in feed,verified
Patient/AdsFeed,Load Vacancy Feed,GET /api/recruitment-ads?q=...&limit=100,backend/routes/recruitmentAdsRoutes.js:GET /,backend/controllers/recruitmentAdsController.js:listRecruitmentAds,Active vacancies loaded for patient/guest roles,verified
Patient/AdsFeed,Load My Applications,GET /api/recruitment-ads/applications?mine=1&limit=200,backend/routes/recruitmentAdsRoutes.js:GET /applications,backend/controllers/recruitmentAdsController.js:listRecruitmentApplications,Patient-specific application history loaded,verified
